stage,seq,id,verdict,route_pass,output_pass,expected_route_path,expected_tool_id,actual_route_path,actual_tool_id,http_status,queued,reason,mirror_id,question,note,answer
A,1,A1,PASS,True,True,deterministic,toast.sales_summary,deterministic,toast.sales_summary,200,False,,2569,What were sales today?,,"Today Toast Analytics (date range: 2026-06-07): net sales are $11,389.32 on 204 orders (avg $55.83). Gross sales are $11,443.58, with discounts $54.26, voids $196.85. Guest count is 530. Labor is 294.1 hours, $2,751.87 cost (24.2% of sales), $38.73 sales per labor hour. Scope: 2 locations included."
A,2,A2,PASS,True,True,deterministic,toast.sales_summary,deterministic,toast.sales_summary,200,False,,2570,What were sales yesterday?,,"Yesterday Toast Analytics (date range: 2026-06-06): net sales are $16,608.73 on 297 orders (avg $55.92). Gross sales are $16,810.60, with discounts $201.87, voids $118.15. Guest count is 848. Labor is 469.1 hours, $4,944.72 cost (29.8% of sales), $35.41 sales per labor hour. Scope: 2 locations included."
A,3,A3,PASS,True,True,deterministic,toast.sales_summary,deterministic,toast.sales_summary,200,False,,2571,What were sales this week?,,"This Week Toast Analytics (date range: 2026-06-07 to 2026-06-07): net sales are $12,409.78 on 219 orders (avg $56.67). Gross sales are $12,464.04, with discounts $54.26, voids $196.85. Guest count is 561. Date note: This Week is Sunday-to-date, so on Sunday it matches Today. Labor is 312.6 hours, $2,919.07 cost (23.5% of sales), $39.70 sales per labor hour. Scope: 2 locations included."
A,4,A8,PASS,True,True,deterministic_or_review,toast.webhook_activity_or_none,deterministic,toast.webhook_activity,200,False,,2572,When did we last get Toast data?,,"The Toast webhook database is connected. It currently has 11,206 webhook events, 8,600 current orders, 10,422 checks, 42,576 selections/items, 9,083 payments, and 71,140 employee Toast facts. It has accepted 0 Toast webhook events in the last hour. Raw Toast webhook JSON is not included in this assistant payload."
A,5,A5,PASS,True,True,deterministic,toast.table_activity,deterministic,toast.table_activity,200,False,,2573,Show me table activity,,"The most recent all locations in-store table open I see today is table 31, opened at 2026-06-07 6:45 PM CT. The waiter/server was Rubi Lira."
A,6,A7,PASS,True,True,deterministic,toast.webhook_activity,deterministic,toast.webhook_activity,200,False,,2574,Is the Toast webhook working?,,"The Toast webhook database is connected. It currently has 11,206 webhook events, 8,600 current orders, 10,422 checks, 42,576 selections/items, 9,083 payments, and 71,140 employee Toast facts. It has accepted 0 Toast webhook events in the last hour. Raw Toast webhook JSON is not included in this assistant payload."
B,7,B1,PASS,True,True,deterministic,orders.catering_by_status,deterministic,orders.catering_by_status,200,False,,2575,Show me catering orders by status,,Catering status split: approved: 5; available: 214; cancelled: 10; delivered: 1; imported: 446; imported_performance: 143.
B,8,B2,PASS,True,True,deterministic,orders.catering_by_store,deterministic,orders.catering_by_store,200,False,,2576,Show me catering orders by store,,Catering store split: store_1: 233; store_2: 298; store_3: 106; store_4: 184.
B,9,B8,PASS,True,True,deterministic,orders.catering_order_lookup,deterministic,orders.catering_order_lookup,200,False,,2577,Look up catering order W7T-UF9,,"Order W7T-UF9: store store_2, date 2026-06-08, time 1:45 PM, status available, headcount 30."
B,10,B8N,PASS,True,True,deterministic,orders.catering_order_lookup,deterministic,orders.catering_order_lookup,200,False,,2578,Look up catering order ZZZ-999,,I did not find a matching visible catering record for ZZZ-999.
B,11,B13,PASS,True,True,deterministic,orders.catering_item_mix,deterministic,orders.catering_item_mix,200,False,,2579,What items get ordered most in catering?,,Top catering items: fajitas_mixed: 3051; cenas_exec_spread: 799; churros: 662; fajitas_chicken: 235; tableware: 225; fajitas_beef: 147.
B,12,B14,PASS,True,True,deterministic,orders.catering_order_items_safe,deterministic,orders.catering_order_items_safe,200,False,,2580,What items are on order W7T-UF9?,,Order W7T-UF9 has 2 item rows: 30 x fajitas_mixed; 1 x tableware.
B,13,B16,PASS,True,True,deterministic,orders.catering_pdf_status,deterministic,orders.catering_pdf_status,200,False,,2581,Which orders are missing PDFs?,,"Catering PDF status: 369 processing rows, 0 detail rows, 0 with PDF source, 0 parse errors. Processing split: success: 369."
B,14,B20,PASS,True,True,deterministic,orders.catering_returning_customers_aggregate,deterministic,orders.catering_returning_customers_aggregate,200,False,,2582,How many returning catering customers do we have?,,"Returning customer aggregate: 49 repeat customer keys, 122 orders tied to repeat customer keys."
B,15,B26,PASS,True,True,review,,review,,200,True,data_question_needs_approved_tool,2583,Refresh the ezCater tracking,,"I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
