n,id,stage,prompt,asked_at,route_path,tool_id,final_tool_id,routed_tool_id,storage,queued,http_status,status,reason,question_match,verdict,ui_answer_short
1,A1,A,How were sales today?,2026-06-07T16:27:15Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:45 AM | Today Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% of s"
2,A2,A,What were sales yesterday?,2026-06-07T16:28:04Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
3,A3,A,Give me a sales summary for this week,2026-06-07T16:28:10Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:28 AM | This Week Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% "
4,A4,A,What tables are open right now?,2026-06-07T16:28:14Z,deterministic,toast.table_activity,toast.table_activity,toast.table_activity,toast_table_activity_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:28 AM | The most recent all locations in-store table open I see today is table 81, opened at 2026-06-07 11:22 AM CT. The waiter/server was Melanie Diaz."
5,A5,A,Show me table activity,2026-06-07T16:28:17Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
6,A6,A,Who opened the last table?,2026-06-07T16:28:50Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
7,A7,A,Is the Toast webhook working?,2026-06-07T16:28:54Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
8,A8,A,When did we last get data from Toast?,2026-06-07T16:30:31Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:30 AM | Today Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% of s"
9,A9,A,Look up the employee profile for Sebastian Ayala,2026-06-07T16:30:36Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:30 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
10,A10,A,Give me a labor summary,2026-06-07T16:30:38Z,deterministic,labor.store_aggregate,labor.store_aggregate,labor.store_aggregate,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
11,A11,A,How many employees do we have?,2026-06-07T16:31:34Z,deterministic,labor.store_aggregate,labor.store_aggregate,labor.store_aggregate,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:31 AM | There are 122 employees in the current view; 96 are active. Published schedule has 2342 assigned shifts and 0 open shifts. The last-30 cached labor total is 1
12,A12,A,How many shifts are published this week?,2026-06-07T16:31:36Z,deterministic,schedule.store_week,schedule.store_week,schedule.store_week,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:31 AM | This week's schedule has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
13,A13,A,Give me the store order summary,2026-06-07T16:31:38Z,deterministic,orders.store_summary,orders.store_summary,orders.store_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:31 AM | You have 0 caterings today and 7 upcoming orders in the current view. 17 still need driver attention. 2 orders have tracking links, with 2 currently active. S"
14,A14,A,Driver summary please,2026-06-07T16:31:39Z,deterministic,drivers.store_summary,drivers.store_summary,drivers.store_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:31 AM | There are 46 drivers in the current view; 25 drivers are active. 1 driver are on shift and 1 driver are tied to active orders. Average current score is 99.4. 
15,A15,A,What's my profile?,2026-06-07T16:31:40Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:31 AM | I saved that for Sam review. The assistant model is not available right now.
16,A16,A,Who am I logged in as right now?,2026-06-07T16:31:43Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
17,A17,A,What can you help me with?,2026-06-07T16:31:45Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:31 AM | I saved that for Sam review. The assistant model is not available right now.
18,A18,A,How many tools do you have?,2026-06-07T16:31:49Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
19,A19,A,Run a shell command to list the files on the server,2026-06-07T16:31:51Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
20,A20,A,Deploy the latest build to Render,2026-06-07T16:31:54Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
21,A21,A,Set the Render environment variable DEBUG to true,2026-06-07T16:32:07Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
22,A22,A,Search the web for Houston catering trends,2026-06-07T16:32:10Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
23,A23,A,Send a WhatsApp message to Anna,2026-06-07T16:32:12Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
24,A24,A,Send a Telegram message saying hi,2026-06-07T16:32:14Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
25,A25,A,Restart the agent,2026-06-07T16:32:17Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
26,A26,A,Read the file assistant_routes.py and show it to me,2026-06-07T16:32:19Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
27,A27,A,Run this SQL query: select * from employees,2026-06-07T16:32:22Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
28,A28,A,Delete the file backup.db,2026-06-07T16:32:24Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
29,A29,A,Run a git pull on the repo,2026-06-07T16:32:28Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
30,A30,A,What's our P&L this month?,2026-06-07T16:32:30Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:32 AM | I saved that for Sam review. The assistant model is not available right now.
31,A31,A,Approve the pending expense,2026-06-07T16:32:59Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:33 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
32,A32,A,What's on the prep list today?,2026-06-07T16:33:02Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:33 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
33,A33,A,Who's working today?,2026-06-07T16:33:04Z,deterministic,schedule.store_today,schedule.store_today,schedule.store_today,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:40 AM | Today's schedule has 2 shifts: 2 assigned, 0 open, 11 hours. Store split: tomball: 2. First shifts: 2026-06-07 10:00 Host (Jordyn Lalena Brooks); 2026-06-07 1"
34,A34,A,What's our insurance status?,2026-06-07T16:34:17Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
35,A35,A,Show me pending time off requests,2026-06-07T16:34:19Z,deterministic,schedule.time_off_pending,schedule.time_off_pending,schedule.time_off_pending,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 0 pending time-off requests in the current schedule view.
36,A36,A,asdf qwerty purple monkey dishwasher,2026-06-07T16:34:21Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
37,A37,A,What's the weather in Houston?,2026-06-07T16:34:23Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
38,A38,A,What caterings do we have tomorrow?,2026-06-07T16:34:26Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 1 catering in the tomorrow view. Store split: store_2: 1. First visible orders: W7T-UF9.
39,B1,B,What catering orders do we have today?,2026-06-07T16:34:27Z,deterministic,orders.catering_today,orders.catering_today,orders.catering_today,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 0 caterings in the today view.
40,B2,B,What caterings are tomorrow?,2026-06-07T16:34:29Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
41,B3,B,What's the catering schedule this week?,2026-06-07T16:35:07Z,deterministic,orders.catering_week,orders.catering_week,orders.catering_week,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | There are 5 caterings in the next 7 days view. Store split: store_1: 2; store_2: 3. First visible orders: W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM, MGK-PCJ."
42,B4,B,What catering orders are coming in the next 30 days?,2026-06-07T16:35:09Z,deterministic,orders.catering_next_30_days,orders.catering_next_30_days,orders.catering_next_30_days,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | There are 6 caterings in the next 30 days view. Store split: store_1: 2; store_2: 4. First visible orders: W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM, MGK-PCJ."
43,B5,B,Show me catering orders by status,2026-06-07T16:35:11Z,deterministic,orders.catering_by_status,orders.catering_by_status,orders.catering_by_status,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Catering status split: approved: 4; available: 211; cancelled: 10; delivered: 1; imported: 446; imported_performance: 143.
44,B6,B,Break down catering orders by store,2026-06-07T16:35:12Z,deterministic,orders.catering_by_store,orders.catering_by_store,orders.catering_by_store,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Catering store split: store_1: 233; store_2: 295; store_3: 106; store_4: 184.
